ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Per_3,25/06/2021,Pejerreyes,-31.020177,-70.66832,1250,Monte Patria,Grande river alto,AP,2021-06-25T18:00,2021-06-25T22:00,2021-06-26T08:00,2021-06-26T12:00,0,,,,,,,,10,,,,,,,,,451
EsQu_3,19/08/2021,Escuela Bosque de Quillay,-31.223755,-70.940407,1193,CombarbalÃƒÂ¡,Guatulame river,MG,,,2021-08-19T14:30,2021-08-19T18:30,0,,,,,,,,1,,,,,,,,,453
EsBe_3,19/08/2021,Escuela Estrella de BelÃƒÂ©n,-31.055672,-70.893944,1181,CombarbalÃƒÂ¡,Guatulame river,CA,,,,,0,,,,,,,,0.7,,,,,,,,,453
EsRa_2,19/08/2021,Escuela Las Ramadas,-31.01337,-70.561014,1427,Monte Patria,Grande river alto,MC,,,2021-08-19T08:00,2021-08-19T12:00,0,,,,,,,,3,,,,,,,Very little snow,muy poquita nieve,451
Pin_11,19/08/2021,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,,,2021-08-19T19:00,2021-08-19T23:00,0,,,,,,,,4.5,,,,,,,,,451
Per_4,19/08/2021,Pejerreyes,-31.020177,-70.66832,1250,Monte Patria,Grande river alto,AP,,,2021-08-19T09:00,2021-08-19T13:00,0,,,,,,,,3,,,,,,,,,451
Alc_9,24/08/2021,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2021-08-24T19:25,2021-08-24T23:25,2021-08-25T10:00,2021-08-25T14:00,0,,,,,,,,0.5,,,,,,,,,431
Gan_8,24/08/2021,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,,,,,0,,,,,,,,1,,,,,,,,,431
Col_6,24/08/2021,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,,,2021-08-25T10:00,2021-08-25T14:00,0,,,,,,,,1,,,,,,,,,431
EsQu_4,24/08/2021,Escuela Bosque de Quillay,-31.223755,-70.940407,1193,CombarbalÃƒÂ¡,Guatulame river,MG,,,2021-08-25T08:00,2021-08-25T12:00,0,,,,,,,,12,,,,,,,,,453
EsMo_3,24/08/2021,Escuela C.H Los Molles,-30.743624,-70.599731,1310,Monte Patria,Grande river medio,JT,2021-08-24T14:00,2021-08-24T18:00,2021-08-25T10:00,2021-08-25T14:00,0,,,,,,,,4,,,,,,,Wind from South,viento sur,452
EsBe_4,24/08/2021,Escuela Estrella de BelÃƒÂ©n,-31.055672,-70.893944,1181,CombarbalÃƒÂ¡,Guatulame river,CA,,,2021-08-25T08:00,2021-08-25T12:00,0,,,,,,,,2,,,,,,,,,453
EsRa_3,24/08/2021,Escuela Las Ramadas,-31.01337,-70.561014,1427,Monte Patria,Grande river alto,MC,,,2021-08-25T08:00,2021-08-25T12:00,0,,,,,,,,4.5,,,,,,,,,451
EsMa_2,24/08/2021,Escuela Maitenes de SerÃƒÂ³n,-30.357864,-70.699822,1546,RÃƒÂ­o Hurtado,Hurtado river,CR,,,2021-08-25T08:00,2021-08-25T12:00,0,,,,,,,,0.5,,,,,,,,,450
Hor_7,24/08/2021,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,,,2021-08-25T11:25,2021-08-25T15:25,0,,,,,,,,1,,,,,,,Just rain,lluvia simple,431
Pin_12,24/08/2021,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2021-08-24T15:45,2021-08-24T19:45,2021-08-25T09:00,2021-08-25T13:00,0,,,,,,,,1,,,,,,,Snow,nieve,451
Lag_15,25/08/2021,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,2021-08-25T02:00,2021-08-25T06:00,2021-08-25T09:00,2021-08-25T13:00,3.3,,,1,-8.2,plate,,,,-15.7,-14.9,-104,-102.2,21.6,17.4,"In the morning cloudy sky with ""garrotillo"", and low temperatures","En la madrugada cubierto cayendo garrotillo, con bajas temperaturas",439
Alc_10,01/09/2021,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,,,,,0,,,,,,,,1,,,,,,,,,431
Gan_9,01/09/2021,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,,,,,0,,,,,,,,1,,,,,,,,,431
Col_7,01/09/2021,El Colorado,-30.158789,-70.380319,1719,Paihuano,Claro river,CC,,,,,0,,,,,,,,1,,,,,,,,,431
Lag_16,01/09/2021,Embalse La Laguna,-30.202872,-70.040778,3111,VicuÃƒÂ±a,Turbio river,JA - GB,,,,,0,,,,,,,,8,,,,,,,,,439
Hor_8,01/09/2021,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2021-09-01T00:00,2021-09-01T04:00,2021-09-01T12:30,2021-09-01T16:30,0,,,,,,,,0.7,,,,,,,"Intermittent rain, short durations.","lluvia intermitente, lapsos cortos",431
Pin_13,01/09/2021,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,,,,,0,,,,,,,,4,,,,,,,,,451
EsQu_5,08/10/2021,Escuela Bosque de Quillay,-31.223755,-70.940407,1193,CombarbalÃƒÂ¡,Guatulame river,MG,,,2021-10-08T08:00,2021-10-08T12:00,0,,,,,,,,3,,,,,,,,,453
EsMo_4,08/10/2021,Escuela C.H Los Molles,-30.743624,-70.599731,1310,Monte Patria,Grande river medio,JT,,,2021-10-08T08:00,2021-10-08T12:00,0,,,,,,,,1.5,,,,,,,,,452
EsBe_5,08/10/2021,Escuela Estrella de BelÃƒÂ©n,-31.055672,-70.893944,1181,CombarbalÃƒÂ¡,Guatulame river,CA,,,2021-10-08T08:00,2021-10-08T12:00,0,,,,,,,,1,,,,,,,,,453
EsMa_3,08/10/2021,Escuela Maitenes de SerÃƒÂ³n,-30.357864,-70.699822,1546,RÃƒÂ­o Hurtado,Hurtado river,CR,,,2021-10-08T08:00,2021-10-08T12:00,0,,,,,,,,0,,,,,,,,,450
